title	author	year	length
The Manoeuvring Mother (vol. 3 of 3)	Lady Charlotte Susan Maria Bury	1842
The Manoeuvring Mother (vol. 2 of 3)	Lady Charlotte Susan Maria Bury	1842
The Manoeuvring Mother (vol. 1 of 3)	Lady Charlotte Susan Maria Bury	1842
The Annals of the Poor	Legh Richmond	1814
Aunt Kitty's Tales	Maria Jane McIntosh	1847
Camperdown; or, News from our neighbourhood	Mary Griffith	1836
The Actress' Daughter: A Novel	May Agnes Fleming	1879
Emilie the Peacemaker	Mrs. Thomas Geldart	1851
The Old Church Clock	Richard Parkinson	1843
Sheppard Lee, Written by Himself. Vol. 1 (of 2)	Robert Montgomery Bird	1836
The Young Trail Hunters: Or, the Wild Riders of the Plains. The Veritable Adventures of Hal Hyde and Ned Brown, on Their Journey Across the Great Plains of the South-West	Samuel Woodworth Cozzens	1876
Watch—Work—Wait: Or, The Orphan's Victory	Sarah Ann Myers	1859
Pine Needles	Susan Bogert Warner	1877
Confession; Or, The Blind Heart. A Domestic Story	William Gilmore Simms	1841
Antony Waymouth; Or, The Gentlemen Adventurers	William Henry Giles Kingston	1865
Clara Maynard; Or, The True and the False: A Tale of the Times	William Henry Giles Kingston	1877
The Story of Nelson: also "The Grateful Indian", "The Boatswain's Son"	William Henry Giles Kingston	1860
Off to Sea: The Adventures of Jovial Jack Junker on his Road to Fame	William Henry Giles Kingston	1870
Fred Markham in Russia; Or, The Boy Travellers in the Land of the Czar	William Henry Giles Kingston	1858
In New Granada; Or, Heroes and Patriots	William Henry Giles Kingston	1879
Roger Kyffin's Ward	William Henry Giles Kingston	1874
Caxton's Book: A Collection of Essays, Poems, Tales, and Sketches.	William Henry Rhodes	1876
Blue-Stocking Hall, (Vol. 2 of 3)	William Pitt Scargill	1827
Blue-Stocking Hall, (Vol. 3 of 3)	William Pitt Scargill	1827
Aurelian; or, Rome in the Third Century	William Ware	1838
